sensor,x,y,z,t_ms
acc,-0.066,-0.015,0.8671,556.57
gyr,-9,64,4,558.67
acc,-0.023,-0.035,0.8671,559.62
acc,-0.031,-0.023,0.9140,560.54
acc,0.0,-0.035,0.9609,561.47
acc,-0.027,-0.039,0.9023,562.38
gyr,-6,64,3,564.27
acc,-0.023,-0.023,0.875,565.34
acc,-0.039,0.0273,0.8945,566.26
acc,-0.035,-0.046,0.8906,567.17
acc,-0.035,-0.046,0.8906,568.08
acc,-0.031,-0.046,0.8789,568.98
comp,357.88,-34.04,641.24,572.37
acc,-0.046,0.0078,0.8671,573.29
acc,-0.046,0.0078,0.8671,574.23
acc,-0.031,-0.042,0.8476,575.16
acc,-0.046,-0.082,0.8945,576.07
gyr,-5,63,8,577.77
acc,-0.035,-0.039,0.8867,578.71
acc,-0.019,-0.035,0.9140,579.63
acc,-0.023,-0.031,0.9648,580.54
acc,-0.023,-0.031,0.9648,581.44
gyr,-4,62,0,583.70
acc,-0.027,-0.039,0.8867,584.64
acc,-0.046,-0.019,0.9257,585.56
acc,-0.058,-0.023,0.8710,586.47
acc,-0.058,-0.023,0.8710,587.39
acc,-0.035,-0.031,0.8398,588.30
comp,357.88,-34.96,641.24,591.92
acc,-0.035,-0.031,0.8789,592.86
acc,-0.050,-0.023,0.8867,593.79
acc,-0.050,-0.023,0.8867,594.70
acc,-0.031,-0.027,0.8789,595.62
gyr,-8,65,8,597.32
acc,-0.035,-0.019,0.8906,598.25
acc,-0.035,-0.042,0.8125,599.17
acc,-0.027,-0.015,0.8632,600.08
acc,-0.027,-0.015,0.8632,600.99
gyr,-7,62,2,603.04
acc,-0.035,-0.015,0.8789,603.99
acc,-0.050,-0.019,0.9140,604.92
acc,-0.050,-0.019,0.9140,605.84
acc,-0.031,-0.039,0.8671,606.76
acc,-0.027,-0.007,0.8828,607.67
comp,357.88,-34.96,641.24,611.07
acc,-0.015,-0.046,0.875,611.99
acc,-0.015,-0.046,0.875,612.90
acc,-0.046,-0.035,1.0117,613.81
acc,-0.035,-0.007,0.9101,614.72
gyr,-5,62,6,616.85
acc,-0.039,-0.031,0.8789,617.80
acc,-0.015,-0.035,0.875,618.72
acc,-0.019,-0.031,0.8867,619.64
acc,-0.035,-0.042,0.8789,620.56
gyr,-6,63,8,622.34
acc,-0.035,-0.019,0.8828,623.29
acc,-0.105,-0.023,0.9023,624.20
acc,-0.105,-0.023,0.9023,625.11
acc,-0.035,-0.027,0.9218,626.02
acc,-0.019,-0.015,0.8867,626.93
comp,357.88,-34.96,641.24,630.73
acc,-0.031,-0.027,0.8906,631.67
acc,-0.046,-0.023,0.8945,632.59
acc,-0.046,-0.023,0.8945,633.50
acc,0.0,-0.039,0.8945,634.41
gyr,-5,64,2,636.12
acc,-0.035,-0.023,0.8906,637.05
acc,-0.039,-0.019,0.9335,637.98
acc,-0.035,-0.007,0.9179,638.89
acc,-0.035,-0.007,0.9179,639.80
gyr,-2,62,8,641.48
acc,-0.031,-0.035,0.8828,642.41
acc,-0.031,-0.035,0.8828,643.32
acc,0.0351,-0.046,0.8554,644.23
acc,-0.015,-0.046,0.9414,645.15
acc,0.0039,-0.097,0.8906,646.07
comp,357.88,-34.04,643.08,649.46
acc,-0.035,-0.031,0.9023,650.40
acc,-0.019,-0.019,0.9257,651.33
acc,-0.023,-0.027,0.9062,652.24
acc,-0.023,-0.027,0.9062,653.15
gyr,-8,65,2,655.58
acc,-0.039,-0.035,0.8867,656.53
acc,-0.019,-0.031,0.8359,657.47
acc,-0.046,-0.023,0.8515,658.39
acc,-0.031,-0.019,0.8632,659.31
gyr,-7,60,6,661.00
acc,-0.035,-0.019,0.8710,661.93
acc,-0.035,-0.019,0.8710,662.84
acc,-0.027,-0.019,0.8632,663.75
acc,-0.019,-0.019,0.9101,664.66
acc,-0.031,-0.039,0.9023,665.56
comp,357.88,-34.04,643.08,668.95
acc,-0.042,-0.031,0.8789,669.88
acc,-0.042,-0.011,0.8398,670.81
acc,-0.019,-0.007,0.9062,671.72
acc,-0.019,-0.007,0.9062,672.62
gyr,-6,68,3,674.31
acc,-0.035,-0.035,0.9179,675.23
acc,-0.035,-0.035,0.9179,676.14
acc,-0.046,-0.042,0.8945,677.06
acc,0.0156,-0.023,0.8906,677.98
gyr,-6,65,4,679.68
acc,-0.027,-0.046,0.8828,680.60
acc,-0.074,-0.027,0.9335,681.52
acc,-0.046,0.0039,0.8867,682.43
acc,-0.046,0.0039,0.8867,683.34
acc,-0.042,-0.031,0.9140,684.25
comp,357.88,-34.04,643.08,688.54
acc,-0.027,-0.035,0.8906,689.48
acc,-0.035,-0.039,0.8789,690.40
acc,-0.007,-0.027,0.8984,691.32
acc,-0.027,-0.050,0.9492,692.23
gyr,-5,63,6,694.10
acc,-0.031,-0.027,0.8906,695.04
acc,-0.062,0.0078,0.8984,695.95
acc,-0.062,0.0078,0.8984,696.86
acc,-0.015,-0.019,0.8945,697.78
gyr,-8,66,2,699.50
acc,-0.035,-0.035,0.8984,700.43
acc,-0.019,-0.035,0.8710,701.40
acc,-0.023,0.0039,0.8710,702.39
acc,-0.031,-0.031,0.8906,703.30
acc,-0.050,-0.023,0.8476,704.21
comp,357.88,-34.04,643.08,707.61
acc,-0.039,-0.031,0.8789,708.54
acc,-0.054,0.0156,0.8789,709.46
acc,-0.015,-0.046,0.8632,710.37
acc,-0.015,-0.046,0.8632,711.29
gyr,-4,62,7,713.54
acc,-0.031,-0.027,0.8906,714.49
acc,-0.019,-0.054,0.9023,715.41
acc,-0.058,-0.015,0.8710,716.34
acc,-0.058,-0.015,0.8710,717.26
gyr,-7,63,4,718.95
acc,-0.035,-0.035,0.8671,719.87
acc,-0.027,-0.031,0.8867,720.78
acc,-0.046,-0.062,0.8945,721.69
acc,-0.039,0.0039,0.9062,722.60
acc,-0.039,0.0039,0.9062,723.50
comp,358.8,-34.96,646.76,726.89
acc,-0.031,-0.039,0.8789,727.83
acc,-0.042,-0.039,0.9023,728.75
acc,-0.042,-0.039,0.9023,729.66
acc,-0.031,-0.015,0.8281,730.57
gyr,-5,65,6,732.27
acc,-0.027,-0.027,0.8867,733.20
acc,-0.039,-0.031,0.9609,734.12
acc,-0.027,-0.007,0.9375,735.03
acc,-0.031,0.0,0.9687,735.94
gyr,-3,66,7,738.37
acc,-0.042,-0.031,0.8671,739.33
acc,-0.039,0.0039,0.8906,740.25
acc,-0.039,0.0312,0.9140,741.17
acc,-0.027,-0.011,0.8945,742.08
acc,-0.027,-0.011,0.8945,745.30
comp,358.8,-34.96,646.76,748.76
acc,-0.035,-0.031,0.8867,749.73
acc,-0.042,-0.015,0.8710,750.77
acc,-0.042,-0.031,0.8632,751.70
acc,-0.042,-0.031,0.8632,752.63
gyr,-5,63,8,754.22
acc,-0.027,-0.015,0.8710,755.13
acc,-0.039,-0.039,0.8906,756.65
acc,-0.035,-0.042,0.8632,757.61
acc,-0.035,-0.042,0.8632,758.55
gyr,-6,62,6,760.19
acc,-0.031,-0.042,0.8945,761.15
acc,-0.031,0.0,0.8789,762.18
acc,-0.023,-0.019,0.9101,763.10
acc,-0.046,-0.015,0.8984,764.02
acc,-0.035,0.0,0.8671,764.93
comp,358.8,-34.96,646.76,768.70
acc,-0.039,-0.039,0.8671,769.65
acc,-0.042,-0.027,0.9257,770.57
acc,-0.019,-0.015,0.9492,771.48
acc,-0.031,-0.035,0.9140,772.39
gyr,-8,66,3,774.26
acc,-0.039,-0.031,0.875,775.19
acc,-0.042,0.0078,0.8945,776.11
acc,-0.042,-0.023,0.8789,777.02
acc,-0.042,-0.023,0.8789,777.93
gyr,-5,62,8,779.72
acc,-0.035,-0.035,0.9062,780.70
acc,-0.035,-0.035,0.9062,781.63
acc,-0.035,-0.054,0.9140,782.54
acc,-0.078,-0.058,0.9062,783.44
acc,-0.089,-0.062,0.8828,784.36
